,A,B,confidence,lift,all confidence,max confidence,Kulczynski,cosine
0,{'?'},"{'republican', 'y'}",0.2871287128712871,0.001729691041393296,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
1,{'?'},"{'republican', 'n'}",0.2871287128712871,0.001729691041393296,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
2,"{'y', '?'}",{'republican'},0.2885572139303483,0.0017278875085649597,0.2885572139303483,0.3473053892215569,0.3179313015759526,0.3165714382201396
3,"{'n', '?'}",{'republican'},0.29,0.0017365269461077843,0.29,0.3473053892215569,0.31865269461077844,0.317361879995458
4,{'?'},{'republican'},0.29207920792079206,0.0017489772929388746,0.29207920792079206,0.3532934131736527,0.3226863105472224,0.3212314746151031
5,{'n'},"{'democrat', '?'}",0.3287037037037037,0.002298627298627299,0.3287037037037037,0.993006993006993,0.6608553483553483,0.5713187170092333
6,{'y'},"{'democrat', '?'}",0.3302540415704388,0.0023094688221709007,0.3302540415704388,1.0,0.6651270207852193,0.5746773369208488
7,{'republican'},"{'y', '?'}",0.3473053892215569,0.0017278875085649597,0.2885572139303483,0.3473053892215569,0.3179313015759526,0.3165714382201396
8,{'republican'},"{'n', '?'}",0.3473053892215569,0.0017365269461077845,0.29,0.3473053892215569,0.31865269461077844,0.317361879995458
9,"{'republican', 'y'}",{'?'},0.3493975903614458,0.0017296910413932961,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
10,"{'republican', 'n'}",{'?'},0.3493975903614458,0.0017296910413932961,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
11,{'republican'},{'?'},0.3532934131736527,0.0017489772929388748,0.29207920792079206,0.3532934131736527,0.3226863105472224,0.3212314746151031
12,{'y'},{'republican'},0.3833718244803695,0.0022956396675471225,0.3833718244803695,0.9940119760479041,0.6886919002641368,0.6173136842909142
13,{'y'},"{'republican', 'n'}",0.3833718244803695,0.0023094688221709007,0.3833718244803695,1.0,0.6916859122401847,0.6191702709920507
14,{'n'},{'republican'},0.38425925925925924,0.0023009536482590373,0.38425925925925924,0.9940119760479041,0.6891356176535817,0.6180277547254656
15,{'n'},"{'republican', 'y'}",0.38425925925925924,0.0023148148148148147,0.38425925925925924,1.0,0.6921296296296297,0.6198864890117055
16,"{'n', 'y'}",{'republican'},0.38425925925925924,0.0023009536482590373,0.38425925925925924,0.9940119760479041,0.6891356176535817,0.6180277547254656
17,{'y'},"{'n', '?'}",0.4618937644341801,0.0023094688221709007,0.4618937644341801,1.0,0.73094688221709,0.6796276660305848
18,{'n'},{'?'},0.46296296296296297,0.002291895856252292,0.46296296296296297,0.9900990099009901,0.7265309864319766,0.677037053085323
19,{'n'},"{'?', 'y'}",0.46296296296296297,0.0023032983231988206,0.46296296296296297,0.9950248756218906,0.7289939192924267,0.6787191353128068
20,"{'n', 'y'}",{'?'},0.46296296296296297,0.002291895856252292,0.46296296296296297,0.9900990099009901,0.7265309864319766,0.677037053085323
